procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0  49124 284388 959540 4596760    0    1   121    94  296  166 25  7 68  0  0
 0  0  49124 238936 959540 4596764    0    0     0   100 1409 2297  3  1 97  0  0
 0  0  49124 228580 959540 4596764    0    0     0     0  384 1126  1  1 99  0  0
 0  0  49124 218500 959540 4596764    0    0     0     0  404 1151  1  0 99  0  0
 0  0  49124 208168 959540 4596764    0    0     0     0  352 1094  1  1 99  0  0
 0  0  49124 309984 959540 4596764    0    0     0     0  392 1180  1  1 99  0  0
 0  0  49124 320576 959548 4601056    0    0     0   236  575 1548  3  1 96  0  0
 0  0  49124 320380 959548 4601056    0    0     0     0  389 1216  1  0 99  0  0
 0  0  49124 320380 959548 4601056    0    0     0     0  380 1120  1  0 99  0  0
 0  0  49124 324924 959548 4596764    0    0     0     0  383 1139  1  0 99  0  0
 0  0  49124 324924 959548 4596764    0    0     0     0  356 1094  1  0 99  0  0
 0  0  49124 324924 959556 4596756    0    0     0   200  359 1153  1  0 99  0  0
 0  0  49124 324924 959556 4596764    0    0     0     0  376 1122  1  1 99  0  0
 2  0  49124 325848 959556 4596764    0    0     0     0  384 1168  1  0 99  0  0
 1  0  49124 325932 959556 4596764    0    0     0     0  336 1085  1  0 99  0  0
 0  0  49124 325932 959556 4596764    0    0     0     0  369 1073  1  0 99  0  0
 0  0  49124 325932 959556 4596764    0    0     0     0  377 1120  1  0 99  0  0
 0  0  49124 325932 959564 4596764    0    0     0    40  377 1134  1  0 99  0  0
